Id;Nome_Breve;Nome;R;Ruolo_Esteso;Qt.A;Qt.I;Qt.M;Diff.M;Squadra;FVM;FVM.M;Piede;Nazionalita;DataNascita;PhotoURL;Extra1;Extra2;Extra3;Pv;Mv;Fm;Gf;Ass;Amm;Esp
5562;Thuram K.;Thuram K.;C;"M;C";14;16;10;10;Juventus;158.7;41;destro;"Francia;Guadalupa";26/03/2001 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/5562.png?v=647;;;;34;6.1;6.4;3;2;2;0
6190;Pisilli;Pisilli;C;C;14;7;5;5;Roma;146.4;17;destro;Italia;23/09/2004 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/6190.png?v=647;;;;22;6.09;6.48;2;4;3;0
6684;Ekkelenkamp;Ekkelenkamp;C;"C;T";14;10;10;10;Udinese;128.8;41;destro;Olanda;05/04/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/6684.png?v=647;;;;31;6.05;6.61;5;3;1;0
7314;Taylor K.;Taylor K.;C;"C;T";14;14;13;13;Lazio;151.3;64;sinistro;Olanda;16/05/2002 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/7314.png?v=647;;;;17;6.06;6.56;3;2;5;0
5792;Ederson D.S.;Ederson D.S.;C;"M;C";13;15;13;13;Atalanta;151.9;48;destro;Brasile;07/07/1999 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/5792.png?v=647;;;;30;6.25;6.43;2;1;3;0
184;Bernardeschi;Bernardeschi;C;"W;A";13;9;9;9;Bologna;142.9;21;sinistro;Italia;16/02/1994 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/184.png?v=647;;;;24;6.04;6.56;4;2;3;0
2765;Odgaard;Odgaard;C;"T;A";13;16;7;7;Bologna;171.4;20;sinistro;Danimarca;31/03/1999 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/2765.png?v=647;;;;22;5.91;6.61;5;1;1;0
4364;Gaetano;Gaetano;C;T;13;8;8;8;Cagliari;107.4;27;destro;Italia;05/05/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/4364.png?v=647;;;;32;6.06;6.31;2;4;4;0
5036;Caqueret;Caqueret;C;"C;T";13;12;6;6;Como;134.0;20;destro;Francia;15/02/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/5036.png?v=647;;;;28;6.11;6.41;2;4;3;0
4486;Strefezza;Strefezza;C;"W;A";13;10;;;Parma;125.8;;;;;;;;;14;6.21;6.68;2;2;3;0
5800;Gudmundsson A.;Gudmundsson A.;C;"T;A";13;24;12;12;Fiorentina;222.8;58;destro;Islanda;15/06/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/5800.png?v=647;;;;32;5.88;6.34;5;3;4;1
632;Zaccagni;Zaccagni;C;"W;A";13;26;15;15;Lazio;224.7;88;destro;Italia;16/06/1995 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/632.png?v=647;;;;26;5.88;5.96;3;0;6;1
5504;Coulibaly L.;Coulibaly L.;C;"M;C";13;7;7;7;Lecce;106.6;16;destro;Mali;10/04/1996 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/5504.png?v=647;;;;33;6.05;6.29;3;1;4;0
536;Politano;Politano;C;W;13;15;9;9;Napoli;148.2;43;sinistro;Italia;03/08/1993 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/536.png?v=647;;;;33;6.09;6.36;2;5;4;0
779;Cristante;Cristante;C;"M;C";13;9;9;9;Roma;124.8;32;destro;"Italia;Canada";03/03/1995 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/779.png?v=647;;;;37;6.11;6.22;2;1;6;0
5589;Konè M.;Konè M.;C;"M;C";13;14;11;11;Roma;149.4;45;destro;"Francia;Costa d''Avorio";17/05/2001 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/5589.png?v=647;;;;29;6.26;6.53;2;3;2;0
530;Pellegrini Lo.;Pellegrini Lo.;C;"C;T";13;11;10;10;Roma;144.2;28;destro;Italia;19/06/1996 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/530.png?v=647;;;;24;6.04;6.58;4;2;2;0
5735;Volpato;Volpato;C;"W;T";13;5;7;7;Sassuolo;117.0;23;sinistro;"Italia;Australia";15/11/2003 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/5735.png?v=647;;;;21;6.14;6.52;2;4;4;0
5888;Casadei;Casadei;C;"C;T";13;12;10;10;Torino;113.6;37;destro;Italia;10/01/2003 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/5888.png?v=647;;;;32;5.97;6.45;6;0;5;0
2077;Pasalic;Pasalic;C;"C;T";12;9;9;9;Atalanta;118.6;32;destro;Croazia;09/02/1995 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/2077.png?v=647;;;;31;5.94;6.27;3;3;3;0
4404;Thorsby;Thorsby;C;"C;T";12;5;;;Cremonese;108.0;;;;;;;;;21;6.1;6.48;3;1;4;0
827;Locatelli;Locatelli;C;"M;C";12;12;9;9;Juventus;115.1;35;destro;Italia;08/01/1998 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/827.png?v=647;;;;36;6.26;6.19;1;2;9;0
7351;Santos A.;Santos A.;C;"W;A";12;7;15;15;Napoli;190.6;57;destro;Brasile;27/09/2002 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/7351.png?v=647;;;;13;6.35;7.23;4;0;1;0
7133;Vandeputte;Vandeputte;C;"W;T";11;12;;;Cremonese;98.8;;;;;;;;;31;6.06;6.27;1;5;3;0
4465;Fagioli;Fagioli;C;C;11;8;9;9;Fiorentina;108.4;25;destro;Italia;12/02/2001 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/4465.png?v=647;;;;33;6.03;6.23;2;3;5;0
7070;Sucic P.;Sucic P.;C;C;11;9;8;8;Inter;110.2;26;destro;"Croazia;Bosnia Erzegovina";25/10/2003 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/7070.png?v=647;;;;28;6.07;6.27;2;2;5;0
333;Cataldi;Cataldi;C;"M;C";11;5;5;5;Lazio;117.2;15;destro;Italia;06/08/1994 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/333.png?v=647;;;;27;6.07;6.41;3;3;6;0
5674;Basic;Basic;C;C;11;1;7;7;Lazio;118.3;20;sinistro;Croazia;25/11/1996 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/5674.png?v=647;;;;23;6.09;6.43;2;3;0;1
5453;Ricci S.;Ricci S.;C;"M;C";11;10;4;4;Milan;106.3;13;destro;Italia;21/08/2001 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/5453.png?v=647;;;;28;6.0;6.18;1;3;3;0
6898;Keita M.;Keita M.;C;"M;C";11;6;6;6;Parma;84.8;17;destro;"Belgio;Guinea";10/05/2002 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/6898.png?v=647;;;;36;6.01;6.06;1;1;1;0
5651;Harrison;Harrison;C;W;11;10;;;Fiorentina;110.2;;;;;;;;;15;5.9;6.27;1;3;1;0
4947;Brescianini;Brescianini;C;"C;T";10;8;3;3;Fiorentina;103.7;7;sinistro;Italia;20/01/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/4947.png?v=647;;;;18;5.97;6.31;2;1;2;0
4896;Maldini;Maldini;C;"T;A";10;9;6;6;Lazio;103.7;22;destro;"Italia;Venezuela";11/10/2001 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/4896.png?v=647;;;;18;5.94;6.31;2;1;1;0
6252;Folorunsho;Folorunsho;C;"C;T";10;9;4;4;Cagliari;82.6;10;destro;"Italia;Nigeria";07/02/1998 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/6252.png?v=647;;;;26;6.04;6.21;2;0;3;0
4686;Fofana Y.;Fofana Y.;C;"M;C";10;11;6;6;Milan;101.8;26;destro;"Francia;Mali";10/01/1999 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/4686.png?v=647;;;;33;5.85;6.06;2;3;4;0
4199;Loftus-Cheek;Loftus-Cheek;C;"C;T";10;8;4;4;Milan;115.2;11;destro;"Inghilterra;Giamaica";23/01/1996 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/4199.png?v=647;;;;21;6.1;6.52;3;1;2;0
4287;Lobotka;Lobotka;C;"M;C";10;9;8;8;Napoli;94.8;22;ambidestro;Slovacchia;25/11/1994 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/4287.png?v=647;;;;31;6.05;6.1;1;0;3;0
6831;Neres;Neres;C;"W;A";10;13;7;7;Napoli;163.1;25;sinistro;Brasile;03/03/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/6831.png?v=647;;;;16;6.19;6.84;3;3;3;0
2334;Leris;Leris;C;W;10;2;;;Pisa;81.9;;;;;;;;;32;5.94;6.19;2;3;2;0
1976;Mazzitelli;Mazzitelli;C;"M;C";10;5;;;Cagliari;98.6;;;;;;;;;14;6.07;6.57;2;2;3;0
22;De Roon;De Roon;C;"M;C";9;12;5;5;Atalanta;108.3;14;destro;Olanda;29/03/1991 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/22.png?v=647;;;;34;5.97;6.0;1;2;6;1
5119;Samardzic;Samardzic;C;T;9;12;12;12;Atalanta;119.5;42;sinistro;"Germania;Serbia";24/02/2002 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/5119.png?v=647;;;;21;5.93;6.29;2;2;1;0
6054;Moro N.;Moro N.;C;"M;C";9;3;4;4;Bologna;87.1;12;destro;Croazia;12/03/1998 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/6054.png?v=647;;;;28;5.93;6.12;2;0;1;0
6294;Ndour;Ndour;C;"M;C";9;2;8;8;Fiorentina;85.3;25;ambidestro;"Italia;Senegal";27/07/2004 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/6294.png?v=647;;;;30;5.8;6.07;3;0;2;0
5791;Frendrup;Frendrup;C;"M;C";9;9;8;8;Genoa;68.5;21;destro;Danimarca;07/04/2001 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/5791.png?v=647;;;;36;5.96;5.97;1;0;5;0
4711;Kostic;Kostic;C;"E;W";9;4;;;Juventus;162.3;;;;;;;;;10;6.2;7.2;3;1;1;0
795;El Shaarawy;El Shaarawy;C;W;9;8;;;Roma;96.3;;;;;;;;;18;6.14;6.33;1;2;4;0
5823;Baldanzi;Baldanzi;C;"T;A";9;8;10;10;Genoa;82.4;27;sinistro;Italia;23/03/2003 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/5823.png?v=647;;;;17;6.15;6.38;1;2;2;0
6680;Karlstrom;Karlstrom;C;"M;C";9;6;7;7;Udinese;68.3;23;destro;Svezia;21/06/1995 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/6680.png?v=647;;;;36;5.96;5.96;1;0;6;0
5761;Zhegrova;Zhegrova;C;W;9;19;5;5;Juventus;165.9;16;sinistro;Kosovo;31/03/1999 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/5761.png?v=647;;;;12;5.96;5.96;0;0;1;0
7318;Gandelman;Gandelman;C;"C;T";9;6;5;5;Lecce;83.7;14;sinistro;"Israele;Portogallo";16/05/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/7318.png?v=647;;;;16;5.97;6.41;2;1;0;0
788;Freuler;Freuler;C;"M;C";8;11;;;Bologna;101.1;;;;;;;;;28;6.02;6.04;1;2;5;0
5298;Pobega;Pobega;C;"M;C";8;8;7;7;Bologna;80.7;17;ambidestro;Italia;15/07/1999 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/5298.png?v=647;;;;23;5.83;6.17;3;1;2;1
4870;Adopo;Adopo;C;"M;C";8;5;7;7;Cagliari;59.6;16;destro;"Francia;Costa d''Avorio";19/07/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/21/card/4870.png?v=647;;;;38;5.83;5.88;1;1;4;0
